电流,电压,电功,热功,温度
,,,,
0,506.7366511,0,0,20
0,506.7366511,0,-1.43E-16,20
0,506.7366511,0,-2.06E-16,20
0,506.7366511,0,-8.56E-17,20
0,506.7366511,0,-1.57E-16,20
0,506.7366511,0,-1.43E-16,20
0,506.7366511,0,-4.14E-16,20
0,506.7366511,0,-3.24E-16,20
0,506.7366511,0,-2.97E-16,20
0,506.7366511,0,-3.20E-16,20
0,506.7366512,0,-1.66E-16,20
0,506.7366512,0,-9.49E-17,20
0,506.7366513,0,-1.63E-16,20
0,506.7366516,0,-1.70E-16,20
0,506.7366522,0,-3.54E-16,20
0,506.7366523,0,-3.35E-16,20
0,506.7366524,0,-1.68E-16,20
0,506.7366525,0,-1.59E-16,20
0,506.7366527,0,-3.05E-16,20
0,506.7366528,0,-2.90E-16,20
0,506.7366531,0,-1.49E-16,20
0,506.7366534,0,-8.75E-17,20
0,506.7366538,0,-3.16E-16,20
0,506.7366542,0,-5.44E-16,20
0,506.7366548,0,-4.70E-16,20
0,506.7366554,0,-1.73E-16,20
0,506.7366563,0,1.85E-16,20
0,506.7366575,0,-9.23E-18,20
0,506.7366587,0,-1.57E-16,20
0,506.7366603,0,-1.26E-16,20
0,506.7366623,0,3.79E-16,20
0,506.7366644,0,2.53E-16,20
0,506.7366662,0,2.32E-16,20
0,506.736668,0,1.60E-16,20
0,506.73667,0,-6.12E-17,20
0,506.736672,0,4.97E-16,20
0,506.7366779,0,1.87E-16,20
0,506.7366859,0,2.11E-16,20
0,506.7366947,0,2.07E-17,20
0,506.7367058,0,2.30E-16,20
0,506.7367209,0,-9.46E-17,20
0,506.7367374,0,-4.01E-17,20
0,506.7367598,0,-4.30E-17,20
0,506.7367911,0,-1.38E-16,20
0,506.7368249,0,-5.17E-17,20
0,506.7368695,0,1.09E-16,20
0,506.7369308,0,1.75E-17,20
0,506.7369967,0,3.45E-16,20
0,506.7370829,0,-7.77E-17,20
0,506.7371995,0,1.05E-16,20
0,506.7373238,0,-8.35E-17,20
0,506.7374847,0,2.46E-16,20
0,506.7376948,0,2.34E-16,20
0,506.7379469,0,-2.79E-16,20
0,506.7382112,0,-7.56E-16,20
0,506.7384857,0,-6.38E-16,20
0,506.7388619,0,4.38E-16,20.00000001
0,506.7393303,0,-4.46E-16,20.00000001
0,506.7398124,0,-4.47E-16,20.00000001
0,506.7403052,0,-4.72E-16,20.00000001
0,506.7409325,0,-6.48E-16,20.00000002
0,506.7415697,0,-8.48E-16,20.00000003
0,506.7423817,0,-1.13E-15,20.00000003
0,506.7433594,0,1.89E-16,20.00000005
0,506.7443459,0,5.21E-17,20.00000006
0,506.7455849,0,-1.25E-16,20.00000008
0,506.7471419,0,3.92E-16,20.00000011
0,506.7490738,0,2.23E-15,20.00000015
0,506.7515088,0,9.21E-15,20.00000021
0,506.7547268,0,8.50E-15,20.00000031
0,506.7590761,0,-4.58E-15,20.00000048
0,506.7634501,0,2.01E-15,20.00000068
0,506.7678396,0,5.83E-15,20.00000092
0,506.7722363,0,1.25E-14,20.00000119
0,506.7727873,0,5.04E-17,20.00000123
0,506.7728333,0,7.26E-17,20.00000123
0,506.7728793,0,-2.63E-16,20.00000124
0,506.7729602,0,-7.64E-17,20.00000124
0,506.7730411,0,3.25E-16,20.00000125
0,506.7731055,0,2.21E-16,20.00000125
0,506.7731699,0,1.09E-16,20.00000126
0,506.7732344,0,2.40E-17,20.00000126
0,506.7733282,0,3.07E-16,20.00000127
0,506.7734511,0,-2.97E-16,20.00000127
0,506.7735439,0,8.62E-17,20.00000128
0,506.7736367,0,1.42E-16,20.00000129
0,506.7739153,0,1.69E-17,20.00000131
0,506.7743099,0,-1.27E-16,20.00000133
0,506.7747049,0,2.33E-16,20.00000136
0,506.7751002,0,1.15E-16,20.00000139
0,506.7754956,0,6.22E-18,20.00000142
0,506.7760255,0,3.38E-17,20.00000146
0,506.77693,0,2.35E-16,20.00000152
0,506.7778342,0,1.85E-16,20.00000159
0,506.7787379,0,-2.14E-15,20.00000166
0,506.7796412,0,-2.77E-15,20.00000173
0,506.7810013,0,7.59E-16,20.00000184
0,506.7828203,0,-3.79E-15,20.00000199
